Component,Cost in CAD,Source
Pimoroni Yukon,$37.32,https://shop.pimoroni.com/products/yukon?variant=41185258111059
Gyro & Accel,$19.11,https://shop.pimoroni.com/products/adafruit-lsm6ds3tr-c-6-dof-accel-gyro-imu-stemma-qt-qwiic?variant=40082621038675
ServoModule 5x,$37.32,https://shop.pimoroni.com/products/quad-servo-module-for-yukon?variant=41187321446483
Servos 16x,$259.96,https://www.amazon.ca/HOOYIJ-Digital-Waterproof-DS3225-Steering/dp/B0D6RRGDLP?crid=3ON4K4FFBXI1B&dib=eyJ2IjoiMSJ9.S6K_Ji4tZZk6PFop0cw_He0vn_xl8dQoMJHkAcPUuXbqIY2Mqv7yZZ1hjKCrqHqMbR0vV3sIQzuIfcAD4P9yXgnGymGp7SorVYomB56pNXp4gFkdb6hi5wFt5XCi5qpo2Btj1Xl9tr-c_rA6GZWQUwvJ80QX8H9ym_9nr_mYqHslN2yekMjheg8LyYunorx_AOu9wfTiHY3fGC1DC-9rPsgo9XQPSw5IFoMHvwdhCrHGO6WN6h7NHcTiFeaau_-a0WgNQ5A_FHKck4ohmsjHedyQXjkrW8xm-Wldrn-nYFk.30ZqViJWccqUMG0vkjbo0RXVWAcfbwJNqPEt2ich-0E&dib_tag=se&keywords=DS3225&qid=1780541493&sprefix=ds3225%2Caps%2C161&sr=8-5
Servos 2x,$38.09,https://www.amazon.ca/Update-DS3225-Digital-Servo-Waterproof/dp/B088GYGYTD?crid=3ON4K4FFBXI1B&dib=eyJ2IjoiMSJ9.S6K_Ji4tZZk6PFop0cw_He0vn_xl8dQoMJHkAcPUuXbqIY2Mqv7yZZ1hjKCrqHqMbR0vV3sIQzuIfcAD4P9yXgnGymGp7SorVYomB56pNXp4gFkdb6hi5wFt5XCi5qpo2Btj1Xl9tr-c_rA6GZWQUwvJ80QX8H9ym_9nr_mYqHslN2yekMjheg8LyYunorx_AOu9wfTiHY3fGC1DC-9rPsgo9XQPSw5IFoMHvwdhCrHGO6WN6h7NHcTiFeaau_-a0WgNQ5A_FHKck4ohmsjHedyQXjkrW8xm-Wldrn-nYFk.30ZqViJWccqUMG0vkjbo0RXVWAcfbwJNqPEt2ich-0E&dib_tag=se&keywords=DS3225&qid=1780541570&sprefix=ds3225%2Caps%2C161&sr=8-10
T to XT30 adpt,$9.99,https://www.amazon.ca/LinsyRC-T-Plug-Connector-Adapter-Battery/dp/B0CZTNMJHF?crid=24HUU5GJMVZ96&dib=eyJ2IjoiMSJ9.1QhwPGs9u9O3cfIuRA5Z_I326xujFDEtgRFgpJGzKKcBeMyaKB0IeYqwSr_0OElTkHgNjKgEGxBWcqVM4s4CfWUkRL1tuuzSBNNEyQm8Cypm49lQWIKkIdQk8OrUaDtdFF7kwVd34iFokY4BKrzWkHnw1sz-5PiZMYLV03R-obo3wrtoiw23c-UXR_0uDJPFmdJGVE0PD27T-ZhJX7FQpOvEPj9xyXK_N8D1eKqUrB8fM44VXlCJRcCra45MBR1S08n5_lWBLQbOivONtk7sA1PjByyyLRTU-ZlZpbu86Xg.87q5Zc5962pyaVi4fn864OvysS9GSn7gdAG0Tvo85d0&dib_tag=se&keywords=deans%2Bto%2Bxt30&qid=1780542154&sprefix=deans%2Bto%2Bxt30%2Caps%2C156&sr=8-5&th=1
2S LIPo,$49.99,https://www.amazon.ca/HOOVO-Battery-Compatible-Helicopter-Airplane/dp/B0C9T8P5TS/ref=sr_1_1_sspa?crid=1A0U3C9G2NADD&dib=eyJ2IjoiMSJ9.3fw41pY5v6kC6l-dORkDtsDUdbZs8rE7weuk33taCIZDZegqL_0tp8pOytJ91ZDMMw-KLVWdL5oFJYMsni4TnjXun5Yw35_yG55vghFNqcX-EcQCyJw4setUrbZXm-xts9VG4C_DeQ_ijiJZ0Je4Nm3wd5Qd6j4E--j_r7d5qmRAKAkfeCfEb-Va8UJOxfFRq19AbRe0X0mRIIH7MxMYYE4KPin04w8m6qfy4BioaBFQTqZ-5Rao8O-BkvD247RmN9RR5k_Vxj3xhCiFJ5DpA9U6rnJJt3tfbfRI-QbDKzY.lBfs5xx7V-JpXZkg-yRW4dYdh7oXdT-lbyu8aH_UjcI&dib_tag=se&keywords=2s+lipo+5200mah&qid=1781235550&sprefix=2s+lipo+5200mah%2Caps%2C135&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
STEMMA cable,$11.99,https://www.amazon.ca/elechawk-SparkFun-Development-Breadboard-Connector/dp/B08HQ1VSVL?crid=GZG111B0J8PP&dib=eyJ2IjoiMSJ9.sir_yYfyVmBAHd-31zTLVFyHlYCN2-n3BLIHN5ibzSZvVyk5lbu3hLhQm5hZN_umm2fz5iM9wK0vB1YSbxuGgdDtfR3gdUmL1z0peBs4LI4lSfly9tCb7K_TtiUIS5uvqqAgZdhgz2zcgnH_4HdSb31Gu3ih6-Sgdb03OWn1yi4wazWeBo1SmKaQCLREOhKy1xLKtg0nZxwfFT-z0yyWMiKOgsBT9-bYz2Z19dfbpyMqkdkNcw5Q4ezo6474G7Hdp66iyY3dZXs61PQJJrSWpSuLXmQL6e1zq4hX_RxVxgk.HCQ6ex8HP8-5L-T3v9tnRGPQWKfJ5EnRJvRhl4QWnxA&dib_tag=se&keywords=STEMMA+QT&qid=1780546362&sprefix=stemma+qt%2Caps%2C163&sr=8-2
2.5 Screws Flat,$9.98,https://www.amazon.ca/M2-5-0-45x10mm-Phillips-Machine-Stainless-Countersunk/dp/B0FB8XR995/ref=sr_1_1_sspa?crid=3KXP5EIB5O516&dib=eyJ2IjoiMSJ9.2x12uYsjaIuhMEP2Yd6v7TLk7bmbqawQMPqIRiwPoQZklIhQ3HmVYGdu_647Jo8Lkqe9Kw-559GIQmG0oaoTNavA4JItTJv0G6yYXBbEiuFAn0NbUOjVLWvTKUw48eXsdEp6572YOENEbGya8VgCaVoMHrfCu3EyJOq-iHs6oKgYuHzpaNad-M1_wskLosRQWy7uTHdsvaAKIZRr2VWcqI4ieNE0L5pYRdq9hmeKyix-MNu47qAhokIfkSBL6X6QsJKENw4KzO1F6VVroszI-bTa4vaAH8pcKInzv39qBqM.1uWvHtQPR56xHDLGC-sLc5hL5bJFHbf58Gb8Z31Ne4g&dib_tag=se&keywords=m2.5%2Bscrew%2Bcountersunk%2B10mm&qid=1781226172&sprefix=m2%2B5%2Bscrew%2Bcountersunk%2B10mm%2Caps%2C146&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
2.5 Screws Button head,$17.39,https://www.amazon.ca/DTGN-565Pcs-M2-5-0-45x4-Button-Socket/dp/B0DQDGNYJT?crid=1BODWZTBY45GT&dib=eyJ2IjoiMSJ9.84Wwq-zagqLAZOWxqfH6uMftsBL24vra9agsjlKr0h3paXB13JnpZxzYqdEVnWVU6BGiqLobevRmuqOfnhpKcZvd0vkzB6pE-4oHKC3BvNcCNKs_QLbLG5u40qlKz7B-Bz9K0uoRjqKiJsZfEcIs6oGQ1Dn7N7ZLOECvWy3cI-0Vk6GfuGvI0dL_UaA5AAIqvgxqR2Dx8AJWER7sTIhi8lNXl9aDdF5UOTsPy-_zMXTfaPWTxVL88f8Qyt_rlihMXP384ytRgO_PhSnyAK9znPzOHO26UWjofu74TE-6gSw.GMCu5Xnbfo7raBJ0mNVxEiKNWwuLCRCpgwFK79F36d8&dib_tag=se&keywords=m2.5%2Bscrew&qid=1780547504&sprefix=m2%2B5%2Bscrew%2Caps%2C177&sr=8-9&th=1
Bearings 30x,$22.31,https://www.amazon.ca/Fafeicy-10x15x4mm-Shielded-Precision-Applications/dp/B0GK24M3W8?crid=1D280H9XYV18S&dib=eyJ2IjoiMSJ9.XziN-s2wfaTRXVHXKIU8aEkAc-qMjSYrEvij48YcByp3saJOK8tFmb9jbR5E4DcqHOj62pmw9wqt6JQ2KKjuemc-oNpi5HBqM5Bw5Kw7Cz_35_6oK3YAx-4UIrEJOKwW3IgGCvs45PV0Uwp6JESVErrKhf06jSEsDJTq7w3shwaI0_KbUluD0vmQjTK-bbasTA5fDM5Iv4JG4hDVoNDP_PkA4KFSCisHYOwq_fEPZrWpEFrf-au1CL7ZVol9kfMpS8tJdBHGyYcHHyWIt5KF6y3dmEEh9TKbPxUkkCIn2rQ.gFaqQHCZyGA-_caNYIR1NYDVSQCkv40MaFz1AbVcSEI&dib_tag=se&keywords=6700zz+bearings&qid=1780548016&sprefix=6700zz+bearings%2Caps%2C174&sr=8-15
Brass insert,$10.99,https://www.amazon.ca/HANGLIFE-Heat-Set-Threaded-Printing-Components/dp/B0CS6YVJYD?crid=33AXYRRLVZX8N&dib=eyJ2IjoiMSJ9.RCdDSiosiHGHNy0hd2mwSCHFuHK2jfatWnnAP8eQeDlHBcRoOhEYX9pu_ok4HJsev-IZwh9pK32MuvQY4WY4YAWkO9n2SyLgnOH-hKZB9MZ6IeD0MYqk9Vay0ixtRPcX9RnZkjR-H_5jBA5rFVyVdVup-nHy_wBvWb-_odyLIjBKALTRI59MAc2cSb-DH4jkqxiBu-INH_lbxh87BhWlBL_6dkJZMVL5ZyXxjCqZ-XPTsiAi_xyd6q3ERDlZzSRmzgcVlw9EOjqOF8hPJtlct6cxAa4eJw9K1btpfSil5H8.Gz0-TsJPH2CvGP_yset1104aeUTNzkClioGdncmlw_c&dib_tag=se&keywords=m2.5%2Bbrass%2Binsert&qid=1780547816&sprefix=m2%2B5%2Bbrass%2Binsert%2Caps%2C166&sr=8-5&th=1
TPU filiment,$25.99,https://www.amazon.ca/ELEGOO-Filament-Flexible-Printing-Dimensional/dp/B0DWSDWTW5?crid=3CWZX4H8JWHR7&dib=eyJ2IjoiMSJ9.SSpoPojvN_f9syNylUeDIoRnD3fUWQda4lfiNNpahHvYd7txkgVaDsUFWTlPSoLosE7zTqPrJ0B1iP8GK58kEYt6uFZGh1nsP3PLhL3OgBISPwqAr7Augo8ssYxrlHz1DflxzfDWahPbDfKH31oX3tkm69i01qJ3zrdufp9hHc6SN9yve0wndgh6xQSWtDlf7OKbP9FaZqkLQsJvoGKcoNwPvsaS3HjZyeBDVidtGvkmP4z_X_sXHmF1Cm0MjxCwQlFTcWXw80E-iG0evBTmfpU-z6c0xmT3i-vn09lXf8o.us0JJpQGaDbqEtvL9TplKxkiXJcYlpTd7hMgFkSRR3o&dib_tag=se&keywords=TPU&qid=1780547611&sprefix=tpu%2Caps%2C158&sr=8-9&th=1
PETG,$20.99,https://www.amazon.ca/ELEGOO-Filament-Printing-Dimensional-Cardboard/dp/B0CMC8CDFN/ref=sr_1_1_sspa?crid=75S9VC5EDU2S&dib=eyJ2IjoiMSJ9.FZpdlZRl53QYnBrhEgShO6IJJOHC0Q36KXYkvrwQV1-3kGnCu_0qx0273wSEjDWrUcXy9xq99lPfFexqu_3yzFz2xWgLlOYavmcIxpPogKA_MGv74jDMuUteO6nJRyEkp9M9KKxz_BdGGXpW8zD_ZJfLfPWpZIOkuVTIvLHLOEhl-MU-d1Hjsl9Gzdt5HTitz2__WeX94Nq3qL7Ghu3u6xnuvgLasutVFxDziUFXLHIdvBq7Xn9gehsiNJi3QCCBZvJGAMq6AwPvtO7zzkzMYeMExMk_-AOBOZHGctTT9Xw.SoVttUosmandpmK2Q2tnX2cT6yTImLlhYSh8QgXfdaw&dib_tag=se&keywords=PETG&qid=1781219342&sprefix=petg%2Caps%2C129&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
